Date,Day_of_Week,Month,Year,Day_of_Year,Is_Weekend,Holiday_Flag,Temperature_C,Rainfall_mm,Humidity_pct,Evaporation_Rate_mm,Population,Household_Count,Urbanization_Index,Pump_Status,Total_Daily_Usage_ML,Treatment_Output_ML,Pressure_Level_bar,Reservoir_Level_pct,Per_Capita_Usage_L,Demand_Level
2020-01-01,2,1,2020,1,0,0,20.8,0.0,85.0,4.22,1000902,263395,0.725,1,71.785,73.21,3.91,83.56,71.72,Low
2020-01-02,3,1,2020,2,0,0,19.8,0.0,77.5,4.31,1000474,263283,0.718,1,69.944,77.67,4.46,82.17,69.91,Low
2020-01-03,4,1,2020,3,0,0,21.0,0.0,82.4,4.21,1001024,263427,0.7146,1,68.504,73.57,4.18,80.8,68.43,Low
2020-01-04,5,1,2020,4,1,0,22.3,0.0,77.6,4.37,1001030,263429,0.7205,1,66.68,73.07,4.64,79.46,66.61,Low
2020-01-05,6,1,2020,5,1,0,19.7,0.0,88.2,3.62,996673,262282,0.7233,1,65.402,61.87,4.34,78.15,65.62,Low
2020-01-06,0,1,2020,6,0,0,19.7,0.0,88.3,5.01,1001545,263564,0.7246,1,73.85,78.54,4.13,76.68,73.74,Low
2020-01-07,1,1,2020,7,0,0,22.4,0.0,76.0,5.65,998983,262890,0.7278,1,74.268,80.51,4.22,75.19,74.34,Low
2020-01-08,2,1,2020,8,0,0,21.2,0.0,91.3,4.92,998188,262681,0.7348,1,71.409,80.08,3.88,73.76,71.54,Low
2020-01-09,3,1,2020,9,0,0,19.3,0.0,97.0,4.33,998225,262691,0.7213,1,70.332,69.46,4.35,72.36,70.46,Low
2020-01-10,4,1,2020,10,0,0,20.8,0.0,84.7,4.67,1001355,263514,0.7167,1,70.994,78.16,4.58,70.94,70.9,Low
2020-01-11,5,1,2020,11,1,0,19.3,0.0,81.2,4.78,1000097,263183,0.7223,1,66.946,75.23,3.92,69.6,66.94,Low
2020-01-12,6,1,2020,12,1,0,19.3,0.0,98.0,4.59,997233,262430,0.7187,1,63.547,60.67,4.22,68.33,63.72,Low
2020-01-13,0,1,2020,13,0,0,20.4,0.0,77.6,5.37,1001607,263581,0.7247,1,72.933,78.02,4.15,66.87,72.82,Low
2020-01-14,1,1,2020,14,0,0,17.2,0.0,84.2,5.38,997826,262586,0.7136,1,70.483,75.86,4.33,65.46,70.64,Low
2020-01-15,2,1,2020,15,0,0,17.5,0.0,84.9,4.63,1001039,263431,0.7319,1,66.729,69.08,4.55,64.12,66.66,Low
2020-01-16,3,1,2020,16,0,0,19.2,0.0,90.6,5.42,1001291,263498,0.7244,1,72.588,74.75,4.23,62.67,72.49,Low
2020-01-17,4,1,2020,17,0,0,18.6,0.0,85.5,5.77,1002639,263852,0.7117,1,68.897,74.35,4.53,61.29,68.72,Low
2020-01-18,5,1,2020,18,1,0,20.6,0.0,81.1,5.95,1004485,264338,0.7165,1,69.143,70.76,4.23,59.91,68.83,Low
2020-01-19,6,1,2020,19,1,0,18.8,0.0,78.7,6.37,998247,262697,0.7242,0,52.964,54.96,4.44,58.85,53.06,Low
2020-01-20,0,1,2020,20,0,0,18.0,0.0,81.6,4.89,1000926,263402,0.726,1,73.401,79.51,4.22,57.38,73.33,Low
2020-01-21,1,1,2020,21,0,0,22.4,0.0,78.2,6.42,1000532,263298,0.7137,1,76.8,85.9,4.32,55.85,76.76,Low
2020-01-22,2,1,2020,22,0,0,19.9,0.0,83.3,5.18,1002007,263686,0.7237,1,75.767,81.17,4.08,54.33,75.62,Low
2020-01-23,3,1,2020,23,0,0,20.3,0.0,80.1,5.11,1001625,263586,0.7104,1,71.548,75.53,4.31,52.9,71.43,Low
2020-01-24,4,1,2020,24,0,0,18.1,0.0,75.3,5.51,1000543,263301,0.7197,1,72.384,74.45,3.99,51.45,72.34,Low
2020-01-25,5,1,2020,25,1,0,19.5,0.0,88.9,5.18,1000420,263268,0.7257,1,68.35,68.74,4.17,50.09,68.32,Low
2020-01-26,6,1,2020,26,1,1,20.5,0.0,79.9,5.6,999123,262927,0.7174,1,61.04,67.42,4.19,48.87,61.09,Low
2020-01-27,0,1,2020,27,0,0,18.7,0.0,75.9,4.94,1003386,264049,0.7126,0,65.324,68.13,4.26,47.56,65.1,Low
